h,r,t
1979,75566,1
573,213638,1
686,158105,1
1009,190397,1
1693,117651,1
275,127126,1
1090,143396,1
2137,127982,1
2308,70759,1
1197,104013,1
2319,170004,1
978,59066,1
34,223401,1
851,77021,1
1198,104709,1
40,64297,1
2452,131872,1
519,88579,1
305,84009,1
1542,131081,1
614,108544,1
573,180028,1
460,53193,1
1170,184121,1
1707,133686,1
2129,195401,1
1935,105142,1
1000,191183,1
2449,186393,1
2185,218435,1
1911,57897,1
866,115400,1
514,170490,1
1898,79762,1
2410,51164,1
575,227259,1
162,187769,1
2248,53111,1
2458,92044,1
978,207207,1
162,124251,1
1203,220680,1
2374,117858,1
2083,152695,1
162,97848,1
394,146156,1
541,172514,1
1485,217790,1
1623,227373,1
2049,126052,1
197,161687,1
909,70436,1
866,117187,1
2104,112964,1
2329,186493,1
317,126753,1
164,52002,1
1407,68830,1
515,77334,1
1008,108543,1
1774,158830,1
138,71589,1
2310,59154,1
1114,62097,1
487,213935,1
35,121851,1
2325,110565,1
260,79964,1
2029,45472,1
808,186506,1
825,49222,1
410,154626,1
1598,196512,1
270,110129,1
1720,75568,1
1598,70271,1
305,84009,1
1614,185431,1
2049,197180,1
1502,146882,1
1696,203321,1
580,103520,1
1536,136757,1
1945,218587,1
1666,212317,1
1280,113313,1
2029,202425,1
1269,167600,1
2339,112042,1
682,110561,1
338,168506,1
793,144494,1
1354,209020,1
267,47161,1
820,218140,1
1224,111687,1
1047,79621,1
150,193315,1
1962,137518,1
1911,103619,1
2486,193056,1
1651,172700,1
589,218307,1
866,71192,1
364,195525,1
1596,79707,1
610,187959,1
146,136982,1
460,54117,1
1153,131848,1
1196,205725,1
1536,153357,1
267,58674,1
2262,137964,1
1373,128676,1
2382,91981,1
614,62150,1
1197,64915,1
2467,225159,1
220,50592,1
342,51871,1
1298,164504,1
1143,122848,1
373,103156,1
1143,74033,1
1175,181234,1
1647,212750,1
2086,202949,1
2261,96415,1
756,175530,1
1956,148449,1
421,72546,1
575,220254,1
832,141975,1
1672,84812,1
940,141851,1
2262,111814,1
242,105617,1
869,49574,1
2166,191924,1
1935,149799,1
321,130231,1
340,180775,1
1577,57728,1
1735,89378,1
1187,84270,1
1784,173585,1
2467,221256,1
101,59790,1
146,203997,1
1373,119160,1
1722,127499,1
1777,151179,1
990,70944,1
1210,49746,1
1774,227113,1
908,111925,1
275,62069,1
267,56723,1
2246,113370,1
2248,191117,1
1673,166973,1
876,198175,1
441,44290,1
822,159830,1
1673,184729,1
739,200677,1
2389,60888,1
1156,165050,1
805,49527,1
1666,185769,1
657,183830,1
713,102358,1
364,221160,1
1298,138641,1
2164,123835,1
794,97659,1
1956,44855,1
1839,139099,1
551,134108,1
1661,82987,1
1109,131518,1
794,118719,1
683,226292,1
1945,170371,1
699,77870,1
709,127143,1
1502,49851,1
1143,187116,1
146,182704,1
270,166651,1
1039,192363,1
1009,151501,1
1827,68512,1
1775,121110,1
1479,96527,1
988,78090,1
515,227387,1
1869,117448,1
267,91636,1
1357,134181,1
2315,139075,1
1973,55978,1
1197,91625,1
546,127709,1
709,65577,1
2503,213044,1
658,135103,1
489,95257,1
1214,83539,1
515,124080,1
267,144894,1
1516,97291,1
1000,95959,1
565,219464,1
279,125665,1
1950,168689,1
497,227849,1
2224,109706,1
1651,157057,1
40,200787,1
616,91172,1
1779,114025,1
305,107799,1
1661,98792,1
435,225922,1
1000,53501,1
1566,80355,1
1735,117545,1
1485,116314,1
686,44727,1
1666,219521,1
1810,161378,1
607,95853,1
1985,52449,1
751,116405,1
167,127850,1
1949,102421,1
1536,132658,1
197,183698,1
